ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
form-198,tupi1273,rowl,urukureʔa,,,rodrigues1985evidence
form-199,tupi1273,rparrot,parawa,,,rodrigues1985evidence
form-200,tupi1273,rparrotsp,marakanã,,,rodrigues1985evidence
form-201,tupi1273,rpassionflower,marakuja,,,rodrigues1985evidence
form-202,tupi1273,rpineapple,nanã,,,rodrigues1985evidence
form-203,tupi1273,rpiranha,pirãj,,,rodrigues1985evidence
form-204,tupi1273,rprochilodusfish,kurimata,,,rodrigues1985evidence
form-205,tupi1273,rsea,paranã,,,rodrigues1985evidence
form-206,tupi1273,rtermite,kupiʔi,,,rodrigues1985evidence
form-207,tupi1273,trunk,ɨpɨ,,,rodrigues1985evidence
form-208,tupi1273,rturtle,jurara,,,rodrigues1985evidence
form-209,tupi1273,rwar,warinĩ,,,rodrigues1985evidence
form-210,tupi1273,rwasp,tapiukaβ,,,rodrigues1985evidence
form-211,tupi1273,rwildcat,marakaja,,,rodrigues1985evidence
form-212,tupi1273,rxanthosoma,taja,,,rodrigues1985evidence
form-213,waim1253,cockroach,bereta,,,bruno1996dictionary
form-214,waiw1244,rbow,kraɸa,,,rodrigues1985evidence
form-215,waiw1244,brotherinlaw,ɸamo,,,rodrigues1985evidence
form-216,waiw1244,cockroach,maht͡ʃaru,,,hawkins2015dictionary
form-217,waiw1244,corn,nasɨnasɨ,,,hawkins2015dictionary
form-218,waiw1244,25,ka,,,rodrigues1985evidence
form-219,waiw1244,21,ɨm,,,rodrigues1985evidence
form-220,waiw1244,26,a,,,rodrigues1985evidence
form-221,waiw1244,leaf,jaa,,,hawkins2015dictionary
form-222,waiw1244,trunk,eɸu,,,rodrigues1985evidence
form-223,waya1269,alligator,ariwe,,,camargo2010wayana
form-224,waya1269,anteater,warisi,,,camargo2010wayana
form-225,waya1269,bow,paila,,,camargo2010wayana
form-226,waya1269,bromeliaplant,kuraiwat,,,camargo2010wayana
form-227,waya1269,rbromeliasp,kulaiwata,,,rodrigues1985evidence
form-228,waya1269,characinfish,kurumata,,,camargo2010wayana
form-229,waya1269,coati,sijeu,,,camargo2010wayana
form-230,waya1269,cockroach,arawe,,,camargo2010wayana
form-231,waya1269,corn,ehnai,,,camargo2010wayana
form-232,waya1269,25,ka-t,,,rodrigues1985evidence
form-233,waya1269,grandfather,tamu,,,rodrigues1985evidence
form-234,waya1269,ibisrubra,tokara,,,camargo2010wayana
form-235,waya1269,jaguar,kaikui,,,camargo2010wayana
form-236,waya1269,manatee,ipo,,,camargo2010wayana
form-237,waya1269,marakanaparrot,marakana,,,camargo2010wayana
form-238,waya1269,marakuja,merekui,,,camargo2010wayana
form-239,waya1269,marakuja,murukuja,,,camargo2010wayana
form-240,waya1269,olderbrother,akon,,,rodrigues1985evidence
form-241,waya1269,rortalisbird,aragua,,,rodrigues1985evidence
form-242,waya1269,pacufish,pasina,,,camargo2010wayana
form-243,waya1269,rparrot,parawa,,,rodrigues1985evidence
form-244,waya1269,parrot,parawa,,,camargo2010wayana
form-245,waya1269,rparrotsp,marakana,,,rodrigues1985evidence
form-246,waya1269,rpassionflower,murukuja,,,rodrigues1985evidence
form-247,waya1269,rpineapple,nana,,,rodrigues1985evidence
form-248,waya1269,pineapple,nana,,,camargo2010wayana
form-249,waya1269,piranha,pəne,,,camargo2010wayana
form-250,waya1269,rsea,parana,,,rodrigues1985evidence
form-251,waya1269,seabigriverwave,parana,,,camargo2010wayana
form-252,waya1269,termite,nukə,,,camargo2010wayana
form-253,waya1269,trunk,epu,,,rodrigues1985evidence
